name,phone,style,OT,facebook,seat,payment,line
巧得鍋,852 2234 5169,火鍋店,11:30–23:30,https://www.facebook.com/Howawesome.hk,0,0,
金羅道韓國餐廳,852 2868 9966,韓國餐廳,11:00–23:00,,0,0,
雄興美食,852 2323 0662,中式餐廳,12:00–02:00,,0,0,
意八餐廳,852 2267 7990,義大利餐廳,07:00–22:00,,0,0,
印度咖哩王餐廳,852 2716 5128,印度餐廳,11:30–23:00,,0,0,
清真牛肉館,852 2382 2822,清真餐廳,11:00–22:45,islamfood.com.hk,0,0,
常悅素食,852 2787 3128,素食餐廳,11:00–23:00,,0,0,
Lava Bar And Restauran,852 2642 1618,西班牙餐廳,15:00–03:00,,0,0,
椰汁大王,852 6623 9293,小吃店,09:30–23:00,,0,0,
飛鷹餐廳,852 2395 2576,西餐廳,09:30–23:00,,0,0,
Gugu Soy,852 2639 2132,小吃店,10:00-18:00,,0,0,
碧姐泰國菜,852 2671 2165,泰國餐廳,08:00-00:00,,0,0,
牛陣,852 2657 3318,日式餐廳,12:00-23:30,,0,0,
八妹雞煲,852 2667 0699,火鍋店,17:00-02:00,,0,0,
Xiao Wang Beef Noodle,852 2693 2288,台式餐廳,11:30-22:30,,0,0,
第一城冰站,852 2733 8244,小吃店,10:30-23:00,,0,0,
滿記甜品,852 2932 4478,小吃店,11:00-23:00,,0,0,
六福菜館,852 2792 9966,海鮮餐廳,11:00-22:00,,0,0,
許留山,852 2476 7380,小吃店,10:00-23:00,,0,0,
安娜餐廳,852 2479 5885,西餐廳,11:00-23:00,,0,0,
海皇粥店,852 2450 5938,中式餐廳,07:00-23:00,,0,0,
Outback Steakhouse,852 2426 3918,澳大利亞餐廳,12:00-22:30,,0,0,
泰皇,852 3145 1151,泰國餐廳,12:00-23:30,,0,0,
越棧,852 2493 8626,越南餐廳,10:30-22:00,,0,0,
少爺18,852 2156 2228,新加坡餐廳,11:30-23:00,http://hawker18.com.hk/,0,0,
Elephant Kitchen,852 2325 3113,西餐廳,11:30-22:00,,0,0,
興樂菜館,852 2981 9773,海鮮餐廳,10:00–22:30,,0,0,
新昌士多,852 2666 9915,雜貨店,10:30-22:00,,0,0,
新興美食,852 2147 3284,中式餐廳,09:00–19:00,,0,0,
祥香茶餐廳,852 2855 7911,茶餐廳,06:00–17:30,,0,0,
艇仔粉,852 9378 2691,中式餐廳,09:00–19:00,,0,0,
越棧越式湯粉專門店香港仔店,852 2553 3744,越南餐廳,10:30–22:30,vietschoice.com,0,0,
安利魚蛋粉,852 2513 8398,中式餐廳,09:00–19:00,,0,0,
檸檬王,852 3547 2331,小吃店,09:30–18:00,https://www.lemonking.com.hk/,0,0,
英記茶餐廳,852 2519 9063,茶餐廳,06:00–19:00,,0,0,
火車頭越南餐室,852 2528 3848,越南餐廳,11:00–23:00,cafelocomotive.com,0,0,
